Item Internal Id,,Price level,Unit Price,Internal Id,external Id
4255,,Discount 20%,34.8,19893,19893
4256,,Discount 20%,37.6,19893,19893
4257,,Discount 20%,41.04,19893,19893
4258,,Discount 20%,45.36,19893,19893
4259,,Discount 25%,3.53,19893,19893
4260,,Discount 20%,5.28,19893,19893
4261,,Discount 20%,7.6,19893,19893
4262,,Discount 20%,10.32,19893,19893
4263,,Discount 20%,12.72,19893,19893
4264,,Discount 20%,15.12,19893,19893
4265,,Discount 15%,20.83,19893,19893
4266,,Discount 15%,25.67,19893,19893
37046,,Discount 15%,30.43,19893,19893
6494,,Discount 20%,76,19893,19893
1318,,Discount 25%,343.5,19893,19893
1319,,Discount 25%,483.75,19893,19893
1320,,Discount 25%,746.25,19893,19893
1333,,Discount 20%,732,19893,19893
1419,,Discount 22.5%,383.63,19893,19893
1425,,Discount 22.5%,437.88,19893,19893
1426,,Discount 25%,543.75,19893,19893
1427,,Discount 25%,821.25,19893,19893
1430,,Discount 20%,636,19893,19893
3038,,Discount 20%,48,19893,19893
3039,,Discount 20%,60.36,19893,19893
3040,,Discount 20%,78.54,19893,19893
3041,,Discount 20%,64.73,19893,19893
3042,,Discount 20%,70.54,19893,19893
3043,,Discount 20%,88,19893,19893
4297,,Discount 20%,1116,19893,19893
4298,,Discount 25%,1196.25,19893,19893
4301,,Discount 25%,862.5,19893,19893
4305,,Discount 22.5%,964.88,19893,19893
4308,,Discount 20%,1224,19893,19893
133,,EquaGel 5,265.3,5898,5898
134,,EquaGel 5,265.3,5898,5898
135,,EquaGel 5,265.3,5898,5898
136,,EquaGel 5,265.3,5898,5898
137,,EquaGel 5,265.3,5898,5898
138,,EquaGel 5,265.3,5898,5898
139,,EquaGel 5,265.3,5898,5898
140,,EquaGel 5,265.3,5898,5898
141,,EquaGel 5,265.3,5898,5898
142,,EquaGel 5,265.3,5898,5898
143,,EquaGel 5,265.3,5898,5898
144,,EquaGel 5,265.3,5898,5898
149,,EquaGel 5,335.3,5898,5898
150,,EquaGel 5,335.3,5898,5898
151,,EquaGel 5,335.3,5898,5898
152,,EquaGel 5,335.3,5898,5898
153,,EquaGel 5,335.3,5898,5898
154,,EquaGel 5,335.3,5898,5898
155,,EquaGel 5,335.3,5898,5898
156,,EquaGel 5,335.3,5898,5898
157,,EquaGel 5,422,5898,5898
159,,EquaGel 5,405.3,5898,5898
160,,EquaGel 5,405.3,5898,5898
161,,EquaGel 5,405.3,5898,5898
162,,EquaGel 5,405.3,5898,5898
163,,EquaGel 5,405.3,5898,5898
164,,EquaGel 5,405.3,5898,5898
165,,EquaGel 5,405.3,5898,5898
166,,EquaGel 5,405.3,5898,5898
167,,EquaGel 5,475.3,5898,5898
168,,EquaGel 5,475.3,5898,5898
170,,EquaGel 5,475.3,5898,5898
172,,EquaGel 5,63.96,5898,5898
173,,EquaGel 5,63.96,5898,5898
174,,EquaGel 5,63.96,5898,5898
175,,EquaGel 5,63.96,5898,5898
176,,EquaGel 5,63.96,5898,5898
177,,EquaGel 5,63.96,5898,5898
178,,EquaGel 5,63.96,5898,5898
7917,,EquaGel 5,63.96,5898,5898
179,,EquaGel 5,63.96,5898,5898
180,,EquaGel 5,59.68,5898,5898
181,,EquaGel 5,63.96,5898,5898
182,,EquaGel 5,63.96,5898,5898
183,,EquaGel 5,63.96,5898,5898
184,,EquaGel 5,63.96,5898,5898
185,,EquaGel 5,63.96,5898,5898
186,,EquaGel 5,63.96,5898,5898
187,,EquaGel 5,63.96,5898,5898
188,,EquaGel 5,63.96,5898,5898
189,,EquaGel 5,63.96,5898,5898
190,,EquaGel 5,63.96,5898,5898
133,,EquaGel 3,219.82,1030,1030
134,,EquaGel 3,219.82,1030,1030
135,,EquaGel 3,219.82,1030,1030
136,,EquaGel 3,219.82,1030,1030
137,,EquaGel 3,219.82,1030,1030
138,,EquaGel 3,219.82,1030,1030
139,,EquaGel 3,219.82,1030,1030
140,,EquaGel 3,219.82,1030,1030
141,,EquaGel 3,219.82,1030,1030
142,,EquaGel 3,219.82,1030,1030
143,,EquaGel 3,219.82,1030,1030
144,,EquaGel 3,219.82,1030,1030
149,,EquaGel 3,263.64,1030,1030
150,,EquaGel 3,263.64,1030,1030
151,,EquaGel 3,263.64,1030,1030
152,,EquaGel 3,263.64,1030,1030
153,,EquaGel 3,263.64,1030,1030
154,,EquaGel 3,263.64,1030,1030
155,,EquaGel 3,263.64,1030,1030
156,,EquaGel 3,263.64,1030,1030
157,,EquaGel 3,338.63,1030,1030
159,,EquaGel 3,350.08,1030,1030
160,,EquaGel 3,350.08,1030,1030
161,,EquaGel 3,350.08,1030,1030
162,,EquaGel 3,350.08,1030,1030
163,,EquaGel 3,350.08,1030,1030
164,,EquaGel 3,350.08,1030,1030
165,,EquaGel 3,350.08,1030,1030
166,,EquaGel 3,350.08,1030,1030
167,,EquaGel 3,397.46,1030,1030
168,,EquaGel 3,429.56,1030,1030
170,,EquaGel 3,397.46,1030,1030
172,,EquaGel 3,56.83,1030,1030
173,,EquaGel 3,56.83,1030,1030
174,,EquaGel 3,56.83,1030,1030
175,,EquaGel 3,56.83,1030,1030
176,,EquaGel 3,56.83,1030,1030
177,,EquaGel 3,56.83,1030,1030
178,,EquaGel 3,56.83,1030,1030
7917,,EquaGel 3,56.83,1030,1030
179,,EquaGel 3,56.83,1030,1030
180,,EquaGel 3,47.84,1030,1030
181,,EquaGel 3,56.83,1030,1030
182,,EquaGel 3,56.83,1030,1030
183,,EquaGel 3,56.83,1030,1030
184,,EquaGel 3,56.83,1030,1030
185,,EquaGel 3,56.83,1030,1030
186,,EquaGel 3,56.83,1030,1030
187,,EquaGel 3,56.83,1030,1030
188,,EquaGel 3,56.83,1030,1030
189,,EquaGel 3,56.83,1030,1030
190,,EquaGel 3,56.83,1030,1030
133,,EquaGel 2,206.44,5867,5867
134,,EquaGel 2,206.44,5867,5867
135,,EquaGel 2,206.44,5867,5867
136,,EquaGel 2,206.44,5867,5867
137,,EquaGel 2,206.44,5867,5867
138,,EquaGel 2,206.44,5867,5867
139,,EquaGel 2,206.44,5867,5867
140,,EquaGel 2,206.44,5867,5867
141,,EquaGel 2,206.44,5867,5867
142,,EquaGel 2,206.44,5867,5867
143,,EquaGel 2,206.44,5867,5867
144,,EquaGel 2,206.44,5867,5867
149,,EquaGel 2,247.59,5867,5867
150,,EquaGel 2,247.59,5867,5867
151,,EquaGel 2,247.59,5867,5867
152,,EquaGel 2,247.59,5867,5867
153,,EquaGel 2,247.59,5867,5867
154,,EquaGel 2,247.59,5867,5867
155,,EquaGel 2,247.59,5867,5867
156,,EquaGel 2,247.59,5867,5867
157,,EquaGel 2,328.25,5867,5867
159,,EquaGel 2,334.86,5867,5867
160,,EquaGel 2,334.86,5867,5867
161,,EquaGel 2,334.86,5867,5867
162,,EquaGel 2,334.86,5867,5867
163,,EquaGel 2,334.86,5867,5867
164,,EquaGel 2,334.86,5867,5867
165,,EquaGel 2,334.86,5867,5867
166,,EquaGel 2,334.86,5867,5867
167,,EquaGel 2,397.46,5867,5867
168,,EquaGel 2,419.56,5867,5867
170,,EquaGel 2,397.46,5867,5867
172,,EquaGel 2,51.54,5867,5867
173,,EquaGel 2,51.54,5867,5867
174,,EquaGel 2,51.54,5867,5867
175,,EquaGel 2,51.54,5867,5867
176,,EquaGel 2,51.54,5867,5867
177,,EquaGel 2,51.54,5867,5867
178,,EquaGel 2,51.54,5867,5867
7917,,EquaGel 2,51.54,5867,5867
179,,EquaGel 2,51.54,5867,5867
180,,EquaGel 2,45.84,5867,5867
181,,EquaGel 2,51.54,5867,5867
182,,EquaGel 2,51.54,5867,5867
183,,EquaGel 2,51.54,5867,5867
184,,EquaGel 2,51.54,5867,5867
185,,EquaGel 2,51.54,5867,5867
186,,EquaGel 2,51.54,5867,5867
187,,EquaGel 2,51.54,5867,5867
188,,EquaGel 2,51.54,5867,5867
189,,EquaGel 2,51.54,5867,5867
190,,EquaGel 2,51.54,5867,5867
7789,,Discount 05%,156.75,5867,5867
1864,,Discount 25%,96.75,1031,1031
24054,,Discount 22.5%,62.78,1031,1031
1876,,Discount 25%,138.75,1031,1031
10229,,Discount 25%,146.25,1031,1031
1877,,Discount 25%,268.5,1031,1031
133,,EquaGel 3,219.82,1031,1031
134,,EquaGel 3,219.82,1031,1031
135,,EquaGel 3,219.82,1031,1031
136,,EquaGel 3,219.82,1031,1031
137,,EquaGel 3,219.82,1031,1031
138,,EquaGel 3,219.82,1031,1031
139,,EquaGel 3,219.82,1031,1031
140,,EquaGel 3,219.82,1031,1031
141,,EquaGel 3,219.82,1031,1031
142,,EquaGel 3,219.82,1031,1031
143,,EquaGel 3,219.82,1031,1031
144,,EquaGel 3,219.82,1031,1031
149,,EquaGel 3,263.64,1031,1031
150,,EquaGel 3,263.64,1031,1031
151,,EquaGel 3,263.64,1031,1031
152,,EquaGel 3,263.64,1031,1031
153,,EquaGel 3,263.64,1031,1031
154,,EquaGel 3,263.64,1031,1031
155,,EquaGel 3,263.64,1031,1031
156,,EquaGel 3,263.64,1031,1031
157,,EquaGel 5,422,1031,1031
159,,EquaGel 3,350.08,1031,1031
160,,EquaGel 3,350.08,1031,1031
161,,EquaGel 3,350.08,1031,1031
162,,EquaGel 3,350.08,1031,1031
163,,EquaGel 3,350.08,1031,1031
164,,EquaGel 3,350.08,1031,1031
165,,EquaGel 3,350.08,1031,1031
166,,EquaGel 3,350.08,1031,1031
167,,EquaGel 3,397.46,1031,1031
168,,EquaGel 3,429.56,1031,1031
170,,EquaGel 3,397.46,1031,1031
172,,EquaGel 3,56.83,1031,1031
173,,EquaGel 3,56.83,1031,1031
174,,EquaGel 3,56.83,1031,1031
175,,EquaGel 3,56.83,1031,1031
176,,EquaGel 3,56.83,1031,1031
177,,EquaGel 3,56.83,1031,1031
178,,EquaGel 3,56.83,1031,1031
7917,,EquaGel 3,56.83,1031,1031
179,,EquaGel 3,56.83,1031,1031
180,,EquaGel 5,59.68,1031,1031
181,,EquaGel 3,56.83,1031,1031
182,,EquaGel 3,56.83,1031,1031
183,,EquaGel 3,56.83,1031,1031
184,,EquaGel 3,56.83,1031,1031
185,,EquaGel 3,56.83,1031,1031
186,,EquaGel 3,56.83,1031,1031
187,,EquaGel 3,56.83,1031,1031
188,,EquaGel 3,56.83,1031,1031
189,,EquaGel 3,56.83,1031,1031
190,,EquaGel 3,56.83,1031,1031
133,,EquaGel 1,191.15,1032,1032
134,,EquaGel 1,191.15,1032,1032
135,,EquaGel 1,191.15,1032,1032
136,,EquaGel 1,191.15,1032,1032
137,,EquaGel 1,191.15,1032,1032
138,,EquaGel 1,191.15,1032,1032
139,,EquaGel 1,191.15,1032,1032
